time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2021-2026,FALSE,TRUE,spearman,threshold,0.7,13,11,0.141025641,5,9,2,0.409090909,0.048951049,0.141025641,0.794796789,0.293516273,78,11,10118309
2021-2026,FALSE,TRUE,spearman,knn,3,13,26,0.333333333,1,13,3,0.308431953,0.081585082,0.333333333,0.594621473,0.260721857,78,26,10118309
2021-2026,FALSE,TRUE,spearman,knn,4,13,34,0.435897436,1,13,2,0.307958478,0.062937063,0.435897436,0.484851235,0.267054612,78,34,10118309
2021-2026,FALSE,TRUE,pearson,threshold,0.5,13,54,0.692307692,1,13,2,0.055555556,0.029137529,0.692307692,0.376972358,0.264834301,78,54,10118309
2021-2026,FALSE,TRUE,pearson,threshold,0.7,13,12,0.153846154,6,6,2,0.375,0.008158508,0.153846154,0.874266253,0.382953992,78,12,10118309
2021-2026,FALSE,TRUE,pearson,knn,3,13,28,0.358974359,1,13,2,0.283163265,0.068764569,0.358974359,0.512100942,0.259321446,78,28,10118309
2021-2026,FALSE,TRUE,pearson,knn,4,13,36,0.461538462,1,13,3,0.225308642,0.05011655,0.461538462,0.440149122,0.264040866,78,36,10118309
2021-2026,FALSE,FALSE,cosine,threshold,0.5,12,53,0.803030303,1,12,2,0.027055892,0.01969697,0.803030303,0.377146767,0.279908981,66,53,9102839
2021-2026,FALSE,FALSE,cosine,threshold,0.7,12,19,0.287878788,3,8,3,0.289473684,0.01969697,0.287878788,0.768514037,0.328915201,66,19,9102839
2021-2026,FALSE,FALSE,cosine,knn,3,12,26,0.393939394,1,12,3,0.256656805,0.071212121,0.393939394,0.496529564,0.259840876,66,26,9102839
2021-2026,FALSE,FALSE,cosine,knn,4,12,33,0.5,1,12,2,0.219926538,0.053030303,0.5,0.432867427,0.270040381,66,33,9102839
2021-2026,FALSE,FALSE,spearman,threshold,0.5,12,42,0.636363636,1,12,2,0.092687075,0.036363636,0.636363636,0.417171776,0.275735528,66,42,9102839
2021-2026,FALSE,FALSE,spearman,threshold,0.7,12,9,0.136363636,6,4,2,0.49382716,0.004545455,0.136363636,0.893353685,0.494822263,66,9,9102839
2021-2026,FALSE,FALSE,spearman,knn,3,12,24,0.363636364,1,12,2,0.353298611,0.086363636,0.363636364,0.600568165,0.277662219,66,24,9102839
2021-2026,FALSE,FALSE,spearman,knn,4,12,32,0.484848485,1,12,2,0.241699219,0.057575758,0.484848485,0.481817488,0.27933989,66,32,9102839
